eid,mid,event_name,event_date,f1name,f2name,f1result,f2result,f1fid,f2fid,method,round,time,f1fights,f1w,f1l,f1fws,f1ls,f2fights,f2w,f2l,f2fws,f2ls,f1SubW,f1KOW,f1DecW,f1SubL,f1KOL,f1DecL,f2SubW,f2KOW,f2DecW,f2SubL,f2KOL,f2DecL
19,9,UFC - Ultimate Ultimate 1996,12/7/96,Steve Nelmark,David Abbott,loss,win,147,110,KO,1,1:03,2,2,0,2,0,7,4,3,0,1,1,1,0,0,0,0,2,2,0,2,0,1
19,8,UFC - Ultimate Ultimate 1996,12/7/96,Don Frye,Mark Hall,win,loss,124,118,Submission,1,0:20,9,8,1,4,0,5,3,2,1,0,4,4,0,0,1,0,1,2,0,1,1,0
20,9,UFC 12 - Judgement Day,2/7/97,Mark Coleman,Dan Severn,win,loss,136,52,Submission,1,2:57,5,5,0,5,0,8,6,2,1,0,4,1,0,0,0,0,4,1,1,2,0,0
20,8,UFC 12 - Judgement Day,2/7/97,Vitor Belfort,Scott Ferrozzo,win,loss,156,128,TKO,1,0:43,0,0,0,0,0,3,2,1,2,0,0,0,0,0,0,0,1,0,1,1,0,0
20,7,UFC 12 - Judgement Day,2/7/97,Jerry Bohlander,Nick Sanzo,win,loss,127,148,Submission,1,0:39,3,2,1,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
20,6,UFC 12 - Judgement Day,2/7/97,Tra Telligman,Vitor Belfort,loss,win,157,156,TKO,1,1:17,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
20,5,UFC 12 - Judgement Day,2/7/97,Jim Mullen,Scott Ferrozzo,loss,win,155,128,TKO,1,8:02,0,0,0,0,0,4,2,2,0,1,0,0,0,0,0,0,1,0,1,1,1,0
20,4,UFC 12 - Judgement Day,2/7/97,Wallid Ismail,Kazuo Takahashi,loss,win,154,153,Decision,1,15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,3,UFC 12 - Judgement Day,2/7/97,Jerry Bohlander,Rainy Martinez,win,loss,127,152,Submission,1,1:18,4,3,1,3,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0
20,2,UFC 12 - Judgement Day,2/7/97,Eric Martin,Justin Martin,loss,win,151,150,Submission,1,0:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1,UFC 12 - Judgement Day,2/7/97,Jackie Lee,Nick Sanzo,loss,win,149,148,TKO,1,0:48,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
